description	enabled	ladder	min diff	version	op	param	value	class	numinputs	input 1	input 2	input 3	input 4	input 5	input 6	input 7	output	lvl	plvl	ilvl	mod 1	mod 1 chance	mod 1 param	mod 1 min	mod 1 max	mod 2	mod 2 chance	mod 2 param	mod 2 min	mod 2 max	mod 3	mod 3 chance	mod 3 param	mod 3 min	mod 3 max	mod 4	mod 4 chance	mod 4 param	mod 4 min	mod 4 max	mod 5	mod 5 chance	mod 5 param	mod 5 min	mod 5 max	output b	b lvl	b plvl	b ilvl	b mod 1	b mod 1 chance	b mod 1 param	b mod 1 min	b mod 1 max	b mod 2	b mod 2 chance	b mod 2 param	b mod 2 min	b mod 2 max	b mod 3	b mod 3 chance	b mod 3 param	b mod 3 min	b mod 3 max	b mod 4	b mod 4 chance	b mod 4 param	b mod 4 min	b mod 4 max	b mod 5	b mod 5 chance	b mod 5 param	b mod 5 min	b mod 5 max	output c	c lvl	c plvl	c ilvl	c mod 1	c mod 1 chance	c mod 1 param	c mod 1 min	c mod 1 max	c mod 2	c mod 2 chance	c mod 2 param	c mod 2 min	c mod 2 max	c mod 3	c mod 3 chance	c mod 3 param	c mod 3 min	c mod 3 max	c mod 4	c mod 4 chance	c mod 4 param	c mod 4 min	c mod 4 max	c mod 5	c mod 5 chance	c mod 5 param	c mod 5 min	c mod 5 max	*eol
Bolt Case of Piercing	1			100					3	"cqv,any"	gpy	r10					Bolt Case of Piercing		100		rep-quant	100	100																																																																																	0
Replenish Unique Bolts	1			100					2	Bolt Case of Slaying	hpot						"useitem,rep,qty=500"		100		rep-quant	100	100																																																																																	0
Bolt Case of Slaying	1			100					3	"cqv,any"	gpb	r19					Bolt Case of Slaying		100		rep-quant	100	100																																																																																	0
2 Socket Armor	1			100					2	"armo,mag"	r12						"usetype,nor"		100		sock	100	2																																																																																	0
3 Socket Armor	1			100					2	"armo,mag"	r13						"usetype,nor"		100		sock	100	3																																																																																	0
4 Socket Armor	1			100					2	"armo,mag"	r14						"usetype,nor"		100		sock	100	4																																																																																	0
2 Socket Weapon	1			100					2	"weap,mag"	r11						"usetype,nor"		100		sock	100	2																																																																																	0
3 Socket Weapon	1			100					2	"weap,mag"	r12						"usetype,nor"		100		sock	100	3																																																																																	0
4 Socket Weapon	1			100					2	"weap,mag"	r13						"usetype,nor"		100		sock	100	4																																																																																	0
5 Socket Weapon	1			100					2	"weap,mag"	r14						"usetype,nor"		100		sock	100	5																																																																																	0
6 Socket Weapon	1			100					2	"weap,mag"	r15						"usetype,nor"		100		sock	100	6																																																																																	0
Lightning Damage Weapon	1			100					2	"weap,any"	gpy						"useitem"		100		dmg-ltng	100		1	75	levelreq	100		11	11																																																																										0
Fire Damage Weapon	1			100					2	"weap,any"	gpr						"useitem"		100		dmg-fire	100		30	50	levelreq	100		11	11																																																																										0
Cold Damage Weapons	1			100					2	"weap,any"	gpb						"useitem"		100		dmg-cold	100	75	20	30	levelreq	100		11	11																																																																										0
Poison Damage Weapons	1			100					2	"weap,any"	gpg						"useitem"		100		dmg-pois	100	179	143	143	levelreq	100		11	11																																																																										0
Physical Damage Weapons	1			100					2	"weap,any"	skz						"useitem"		100		dmg-norm	100		5	15	levelreq	100		12	12																																																																										0
Attack Rating Weapons	1			100					2	"weap,any"	gpv						"useitem"		100		att%	100		5	5	levelreq	100		9	9																																																																										0
Durability Weapons	1			100					2	"weap,any"	gpw						"useitem"		100		dur	100		5	5	levelreq	100		1	1																																																																										0
Duel Leech Weapons	1			100					4	"weap,any"	"skz,qty=3"						"useitem"		100		lifesteal	100		1	1	levelreq	100		7	7	manasteal	100		1	1																																																																					0
MF Armor	1			100					2	"tors,any"	gpy						"useitem"		100		mag%	100		20	20	levelreq	100		10	10																																																																										0
Life Armor	1			100					2	"tors,any"	gpr						"useitem"		100		hp	100		35	35	levelreq	100		18	18																																																																										0
Mana Armor	1			100					2	"tors,any"	gpb						"useitem"		100		mana	100		20	20	levelreq	100		15	15																																																																										0
Dexterity Armor	1			100					2	"tors,any"	gpg						"useitem"		100		dex	100		5	5	levelreq	100		10	10																																																																										0
Regen Armor	1			100					2	"tors,any"	skz						"useitem"		100		regen	100		1	1	levelreq	100		5	5	regen-mana	100		5	5																																																																					0
Strength Armor	1			100					2	"tors,any"	gpv						"useitem"		100		str	100		5	5	levelreq	100		10	10																																																																										0
Durability Armor	1			100					2	"armo,any"	gpw						"useitem"		100		dur	100		5	5	levelreq	100		1	1																																																																										0
Defense Armor	1			100					4	"armo,any"	"gpw,qty=3"						"useitem"		100		ac%	100		5	5	levelreq	100		3	3																																																																										0
MF Armor	1			100					2	"belt,any"	gpy						"useitem"		100		mag%	100		3	3	levelreq	100		7	7																																																																										0
Life Armor	1			100					2	"belt,any"	gpr						"useitem"		100		hp	100		5	5	levelreq	100		5	5																																																																										0
Mana Armor	1			100					2	"belt,any"	gpb						"useitem"		100		mana	100		4	4	levelreq	100		5	5																																																																										0
Dexterity Armor	1			100					2	"belt,any"	gpg						"useitem"		100		dex	100		5	5	levelreq	100		10	10																																																																										0
Regen Armor	1			100					2	"belt,any"	skz						"useitem"		100		regen	100		1	1	levelreq	100		9	9	regen-mana	100		5	5																																																																					0
Strength Armor	1			100					2	"belt,any"	gpv						"useitem"		100		str	100		5	5	levelreq	100		10	10																																																																										0
Adds 1 Socket	1			100					2	"weap,mag"	r10						"useitem"		100		sock	100		3	3																																																																															0
MF Armor	1			100					2	"glov,any"	gpy						"useitem"		100		mag%	100		3	3	levelreq	100		3	3																																																																										0
Life Armor	1			100					2	"glov,any"	gpr						"useitem"		100		hp	100		5	5	levelreq	100		5	5																																																																										0
Mana Armor	1			100					2	"glov,any"	gpb						"useitem"		100		mana	100		4	4	levelreq	100		5	5																																																																										0
Dexterity Armor	1			100					2	"glov,any"	gpg						"useitem"		100		dex	100		5	5	levelreq	100		10	10																																																																										0
Regen Armor	1			100					2	"glov,any"	skz						"useitem"		100		regen	100		1	1	levelreq	100		9	9	regen-mana	100		5	5																																																																					0
Strength Armor	1			100					2	"glov,any"	gpv						"useitem"		100		str	100		5	5	levelreq	100		10	10																																																																										0
MF Armor	1			100					2	"boot,any"	gpy						"useitem"		100		mag%	100		3	3	levelreq	100		3	3																																																																										0
Life Armor	1			100					2	"boot,any"	gpr						"useitem"		100		hp	100		5	5	levelreq	100		5	5																																																																										0
Mana Armor	1			100					2	"boot,any"	gpb						"useitem"		100		mana	100		4	4	levelreq	100		5	5																																																																										0
Dexterity Armor	1			100					2	"boot,any"	gpg						"useitem"		100		dex	100		5	5	levelreq	100		10	10																																																																										0
Regen Armor	1			100					2	"boot,any"	skz						"useitem"		100		regen	100		1	1	levelreq	100		9	9	regen-mana	100		5	5																																																																					0
Strength Armor	1			100					2	"boot,any"	gpv						"useitem"		100		str	100		5	5	levelreq	100		10	10																																																																										0
MF Armor	1			100					2	"helm,any"	gpy						"useitem"		100		mag%	100		3	3	levelreq	100		3	3																																																																										0
Life Armor	1			100					2	"helm,any"	gpr						"useitem"		100		hp	100		5	5	levelreq	100		5	5																																																																										0
Mana Armor	1			100					2	"helm,any"	gpb						"useitem"		100		mana	100		4	4	levelreq	100		5	5																																																																										0
Dexterity Armor	1			100					2	"helm,any"	gpg						"useitem"		100		dex	100		5	5	levelreq	100		10	10																																																																										0
Regen Armor	1			100					2	"helm,any"	skz						"useitem"		100		regen	100		1	1	levelreq	100		9	9	regen-mana	100		5	5																																																																					0
Strength Armor	1			100					2	"helm,any"	gpv						"useitem"		100		str	100		5	5	levelreq	100		10	10																																																																										0
Lightning Resist Shield	1			100					2	"shld,any"	gpy						"useitem"		100		res-ltng	100		12	12	levelreq	100		7	7																																																																										0
Fire Resist Shield	1			100					2	"shld,any"	gpr						"useitem"		100		res-fire	100		12	12	levelreq	100		7	7																																																																										0
Cold Resist Shield	1			100					2	"shld,any"	gpb						"useitem"		100		res-cold	100		12	12	levelreq	100		7	7																																																																										0
Poison Resist Shield	1			100					2	"shld,any"	gpg						"useitem"		100		res-pois	100		12	12	levelreq	100		7	7																																																																										0
Attacker Takes DMG Shield	1			100					2	"shld,any"	skz						"useitem"		100		thorns	100		20	20	levelreq	100		9	9																																																																										0
Increased % to Block Shield	1			100					2	"shld,any"	gpv						"useitem"		100		block	100		5	5	levelreq	100		12	12																																																																										0
All resist Shield	1			100					3	"shld,any"	"gpw,qty=2"						"useitem"		100		res-all	100		10	10	levelreq	100		15	15																																																																										0
+1 Skills to Amulet	1			100					7	"amu,any"	"gpy,qty=6"						"useitem"		100		ass	100		1	1	levelreq	100		30	30																																																																										0
+1 Skills to Amulet	1			100					7	"amu,any"	"gpr,qty=6"						"useitem"		100		bar	100		1	1	levelreq	100		30	30																																																																										0
+1 Skills to Amulet	1			100					7	"amu,any"	"gpb,qty=6"						"useitem"		100		sor	100		1	1	levelreq	100		30	30																																																																										0
+1 Skills to Amulet	1			100					7	"amu,any"	"gpg,qty=6"						"useitem"		100		dru	100		1	1	levelreq	100		30	30																																																																										0
+1 Skills to Amulet	1			100					7	"amu,any"	"skz,qty=6"						"useitem"		100		nec	100		1	1	levelreq	100		30	30																																																																										0
+1 Skills to Amulet	1			100					7	"amu,any"	"gpv,qty=6"						"useitem"		100		ama	100		1	1	levelreq	100		30	30																																																																										0
+1 Skills to Amulet	1			100					7	"amu,any"	"gpw,qty=6"						"useitem"		100		pal	100		1	1	levelreq	100		30	30																																																																										0
MF Ring	1			100					2	"rin,any"	gpy						"useitem"		100		mag%	100		3	3	levelreq	100		7	7																																																																										0
Life Ring	1			100					2	"rin,any"	gpr						"useitem"		100		hp	100		5	5	levelreq	100		5	5																																																																										0
Mana Ring	1			100					2	"rin,any"	gpb						"useitem"		100		mana	100		8	8	levelreq	100		5	5																																																																										0
Dexterity Ring	1			100					2	"rin,any"	gpg						"useitem"		100		dex	100		5	5	levelreq	100		8	8																																																																										0
Attacker Takes DMG Ring	1			100					2	"rin,any"	skz						"useitem"		100		thorns	100		4	4	levelreq	100		2	2																																																																										0
Strength Ring	1			100					2	"rin,any"	gpv						"useitem"		100		str	100		5	5	levelreq	100		8	8																																																																										0
All resist Ring	1			100					2	"rin,any"	gpw						"useitem"		100		res-all	100		3	3	levelreq	100		9	9																																																																										0
3 Small charms = reroll charm	1			100					3	"cm1,mag,qty=3"							"cm1,mag"		100																																																																																					0
3 med charms = reroll charm	1			100					3	"cm2,mag,qty=3"							"cm2,mag"		100																																																																																					0
3 grand charms = reroll charm	1			100					3	"cm3,mag,qty=3"							"cm3,mag"		100																																																																																					0
3 magic jewels = reroll magic jewel	1			100					3	"jew,mag,qty=3"							"jew,mag"		100																																																																																					0
3 rare jewels = reroll rare jewel	1			100					3	"jew,rar,qty=3"							"jew,rar"		100																																																																																					0
3 rare rings -> rare ring	1			100					3	"rin,rar,qty=3"							"rin,rar"		100																																																																																					0
3 rare amulets = rare amulet	1			100					3	"amu,rar,qty=3"							"amu,rar"		100																																																																																					0
Light weapon	1			100					5	"weap,any"	"jew,mag,qty=3"	r01					"useitem"		100		light	100		1	1	levelreq	100		1	1																																																																										0
dmg undead weapon	1			100					5	"weap,any"	"jew,mag,qty=3"	r02					"useitem"		100		dmg-undead	100		100	100	levelreq	100		12	12																																																																										0
mana kill weapon	1			100					5	"weap,any"	"jew,mag,qty=3"	r03					"useitem"		100		mana-kill	100		1	1	levelreq	100		8	8																																																																										0
knockback weapon	1			100					5	"weap,any"	"jew,mag,qty=3"	r04					"useitem"		100		knock	100		1	1	levelreq	100		15	15																																																																										0
damage ac% weapon	1			100					5	"weap,any"	"jew,mag,qty=3"	r05					"useitem"		100		reduce-ac	100		5	5	levelreq	100		9	9																																																																										0
max damage weapon	1			100					5	"weap,any"	"jew,mag,qty=3"	r06					"useitem"		100		dmg-max	100		3	3	levelreq	100		1	1																																																																										0
elemental damage weapon	1			100					5	"weap,any"	r07	r08	r09	r10			"useitem"		100		dmg-elem	100	100	10	50	levelreq	100		20	20	dmg-pois	100	75	144	144																																																																					0
Lifeleech weapon	1			100					5	"weap,any"	"jew,mag,qty=3"	r11					"useitem"		100		lifesteal	100		2	2	levelreq	100		10	10																																																																										0
min damage weapon	1			100					5	"weap,any"	"jew,mag,qty=3"	r12					"useitem"		100		dmg-min	100		1	1	levelreq	100		1	1																																																																										0
normal damage weapon	1			100					5	"weap,any"	"r06,qty=2"	"r12,qty=2"					"useitem"		100		dmg-norm	100		1	3	levelreq	100		1	1																																																																										0
ias weapon	1			100					4	"weap,any"	"jew,mag"	"r13,qty=2"					"useitem"		100		swing2	100		10	10	levelreq	100		15	15																																																																										0
Hit causes monster flee weapon	1			100					5	"weap,any"	"jew,mag,qty=3"	r14					"useitem"		100		howl	100		15	15	levelreq	100		7	7																																																																										0
Lighter weapon	1			100					5	"weap,any"	"jew,mag,qty=3"	r15					"useitem"		100		ease	100		-3	-3	levelreq	100		1	1																																																																										0
All attributes weapon	1			100					5	"weap,any"	r16	r17	r18	r19			"useitem"		100		all-stats	100		5	5	levelreq	100		8	8																																																																										0
gold weapon	1			100					5	"weap,any"	"jew,mag,qty=3"	r20					"useitem"		100		gold%	100		10	10	levelreq	100		4	4																																																																										0
dmg to demon weapon	1			100					5	"weap,any"	"jew,mag,qty=3"	r21					"useitem"		100		dmg-demon	100		100	100	levelreq	100		12	12																																																																										0
open wounds weapon	1			100					5	"weap,any"	"jew,mag,qty=3"	r22					"useitem"		100		openwounds	100		15	15	levelreq	100		5	5																																																																										0
no heal weapon	1			100					5	"weap,any"	"jew,mag,qty=3"	r23					"useitem"		100		noheal	100		1	1	levelreq	100		25	25																																																																										0
MF Weapon	1			100					5	"weap,any"	"jew,mag,qty=3"	r24					"useitem"		100		mag%	100		30	30	levelreq	100		18	18																																																																										0
cheaper vendor weapons	1			100					5	"weap,any"	"jew,mag"	"r20,qty=3"					"useitem"		100		cheap	100		4	4	levelreq	100		16	16																																																																										0
Att% Weapon	1			100					5	"weap,any"	"jew,mag,qty=3"	r25					"useitem"		100		att%	100		20	20	levelreq	100		12	12																																																																										0
Manaleech weapon	1			100					5	"weap,any"	"jew,mag,qty=3"	r26					"useitem"		100		manasteal	100		2	2	levelreq	100		10	10																																																																										0
duelleech weapon	1			100					5	"weap,any"	"r11,qty=2"	"r26,qty=2"					"useitem"		100		manasteal	100		2	2	levelreq	100		12	12	lifesteal	100		2	2																																																																					0
dmg/lvl weapon	1			100					5	"weap,any"	"jew,mag,qty=3"	r27					"useitem"		100		dmg%/lvl	100	20			levelreq	100		35	35																																																																										0
Deadly Strike weapon	1			100					5	"weap,any"	"jew,mag,qty=3"	r28					"useitem"		100		deadly/lvl	100	8			levelreq	100		25	25																																																																										0
hit blinds weapon	1			100					5	"weap,any"	"jew,mag,qty=3"	r29					"useitem"		100		stupidity	100		2	2	levelreq	100		19	19																																																																										0
Crushing blow weapon	1			100					5	"weap,any"	"jew,mag,qty=3"	r30					"useitem"		100		crush/lvl	100	6			levelreq	100		35	35																																																																										0
ignore ac	1			100					5	"weap,any"	"jew,mag,qty=3"	r31					"useitem"		100		ignore-ac	100		1	1	levelreq	100		25	25																																																																										0
Freeze Target	1			100					5	"weap,any"	"jew,mag,qty=3"	r32					"useitem"		100		freeze	100		2	2	levelreq	100		18	18																																																																										0
-10 Level requirements	1			100					5	"weap,any"	"jew,mag,qty=3"	r33					"useitem"		100		levelreq	100		-10	-10																																																																															0
-10 Level requirements	1			100					5	"armo,any"	"jew,mag,qty=3"	r33					"useitem"		100		levelreq	100		-10	-10																																																																															0
-10 Level requirements	1			100					5	"shld,any"	"jew,mag,qty=3"	r33					"useitem"		100		levelreq	100		-10	-10																																																																															0
-10 Level requirements	1			100					5	"rin,any"	"jew,mag,qty=3"	r33					"useitem"		100		levelreq	100		-10	-10																																																																															0
-10 Level requirements	1			100					5	"amu,any"	"jew,mag,qty=3"	r33					"useitem"		100		levelreq	100		-10	-10																																																																															0
light armors	1			100					5	"armo,any"	"jew,mag,qty=3"	r01					"useitem"		100		light	100		1	1	levelreq	100		1	1																																																																										0
stamina armor	1			100					5	"tors,any"	"jew,mag,qty=3"	r02					"useitem"		100		stamdrain	100		15	15	levelreq	100		9	9																																																																										0
stamina armor	1			100					5	"belt,any"	"jew,mag,qty=3"	r02					"useitem"		100		stamdrain	100		8	8	levelreq	100		9	9																																																																										0
stamina armor	1			100					5	"boot,any"	"jew,mag,qty=3"	r02					"useitem"		100		stamdrain	100		8	8	levelreq	100		9	9																																																																										0
stamina armor	1			100					5	"glov,any"	"jew,mag,qty=3"	r02					"useitem"		100		stamdrain	100		8	8	levelreq	100		9	9																																																																										0
stamina armor	1			100					5	"helm,any"	"jew,mag,qty=3"	r02					"useitem"		100		stamdrain	100		8	8	levelreq	100		9	9																																																																										0
mana kill armor	1			100					5	"tors,any"	"jew,mag,qty=3"	r03					"useitem"		100		mana-kill	100		1	1	levelreq	100		7	7																																																																										0
mana kill Belt	1			100					5	"belt,any"	"jew,mag,qty=3"	r03					"useitem"		100		mana-kill	100		1	1	levelreq	100		8	8																																																																										0
mana kill boots	1			100					5	"boot,any"	"jew,mag,qty=3"	r03					"useitem"		100		mana-kill	100		1	1	levelreq	100		8	8																																																																										0
mana kill gloves	1			100					5	"glov,any"	"jew,mag,qty=3"	r03					"useitem"		100		mana-kill	100		1	1	levelreq	100		8	8																																																																										0
mana kill helm	1			100					5	"helm,any"	"jew,mag,qty=3"	r03					"useitem"		100		mana-kill	100		1	1	levelreq	100		8	8																																																																										0
defense armor	1			100					5	"tors,any"	"jew,mag,qty=3"	r04					"useitem"		100		ac	100		25	25	levelreq	100		3	3																																																																										0
defense armor	1			100					5	"belt,any"	"jew,mag,qty=3"	r04					"useitem"		100		ac	100		8	8	levelreq	100		3	3																																																																										0
defense armor	1			100					5	"boot,any"	"jew,mag,qty=3"	r04					"useitem"		100		ac	100		8	8	levelreq	100		3	3																																																																										0
defense armor	1			100					5	"glov,any"	"jew,mag,qty=3"	r04					"useitem"		100		ac	100		8	8	levelreq	100		3	3																																																																										0
defense armor	1			100					5	"helm,any"	"jew,mag,qty=3"	r04					"useitem"		100		ac	100		8	8	levelreq	100		3	3																																																																										0
regen mana armor	1			100					5	"tors,any"	"jew,mag,qty=3"	r05					"useitem"		100		regen-mana	100		5	5	levelreq	100		3	3																																																																										0
regen mana belt	1			100					5	"boot,any"	"jew,mag,qty=3"	r05					"useitem"		100		regen-mana	100		5	5	levelreq	100		4	4																																																																										0
regen mana boots	1			100					5	"belt,any"	"jew,mag,qty=3"	r05					"useitem"		100		regen-mana	100		5	5	levelreq	100		4	4																																																																										0
regen mana gloves	1			100					5	"glov,any"	"jew,mag,qty=3"	r05					"useitem"		100		regen-mana	100		5	5	levelreq	100		4	4																																																																										0
regen mana hellm	1			100					5	"helm,any"	"jew,mag,qty=3"	r05					"useitem"		100		regen-mana	100		5	5	levelreq	100		4	4																																																																										0
damage to mana armor	1			100					5	"tors,any"	"jew,mag,qty=3"	r06					"useitem"		100		dmg-to-mana	100		5	5	levelreq	100		1	1																																																																										0
dmg to mana belt	1			100					5	"belt,any"	"jew,mag,qty=3"	r06					"useitem"		100		dmg-to-mana	100		3	3	levelreq	100		2	2																																																																										0
dmg to mana boots	1			100					5	"boot,any"	"jew,mag,qty=3"	r06					"useitem"		100		dmg-to-mana	100		3	3	levelreq	100		2	2																																																																										0
dmg to mana gloves				100					5	"glove,any"	"jew,mag,qty=3"	r06					"useitem"		100		dmg-to-mana	100		3	3	levelreq	100		2	2																																																																										0
dmg to mana helm				100					5	"helm,any"	"jew,mag,qty=3"	r06					"useitem"		100		dmg-to-mana	100		3	3	levelreq	100		2	2																																																																										0
resist all armor	1			100					5	"tors,any"	r07	r08	r09	r10			"useitem"		100		res-all	100		15	15	levelreq	100		15	15																																																																										0
resist all belt	1			100					5	"belt,any"	r07	r08	r09	r10			"useitem"		100		res-all	100		10	10	levelreq	100		20	20																																																																										0
resist all boot	1			100					5	"boot,any"	r07	r08	r09	r10			"useitem"		100		res-all	100		10	10	levelreq	100		20	20																																																																										0
resist all glove	1			100					5	"glov,any"	r07	r08	r09	r10			"useitem"		100		res-all	100		10	10	levelreq	100		20	20																																																																										0
resist all helm	1			100					5	"helm,any"	r07	r08	r09	r10			"useitem"		100		res-all	100		10	10	levelreq	100		20	20																																																																										0
regen armor	1			100					5	"tors,any"	"jew,mag,qty=3"	r11					"useitem"		100		thorns	100		14	14	levelreq	100		6	6																																																																										0
regen belt	1			100					5	"belt,any"	"jew,mag,qty=3"	r11					"useitem"		100		thorns	100		10	10	levelreq	100		7	7																																																																										0
regen boot	1			100					5	"boot,any"	"jew,mag,qty=3"	r11					"useitem"		100		thorns	100		10	10	levelreq	100		7	7																																																																										0
regen glove	1			100					5	"glov,any"	"jew,mag,qty=3"	r11					"useitem"		100		thorns	100		10	10	levelreq	100		7	7																																																																										0
regen helm	1			100					5	"helm,any"	"jew,mag,qty=3"	r11					"useitem"		100		thorns	100		10	10	levelreq	100		7	7																																																																										0
red dmg armor	1			100					5	"tors,any"	"jew,mag,qty=3"	r12					"useitem"		100		red-dmg	100		2	2	levelreq	100		2	2																																																																										0
red dmg belt	1			100					5	"belt,any"	"jew,mag,qty=3"	r12					"useitem"		100		red-dmg	100		1	1	levelreq	100		2	2																																																																										0
red dmg boot	1			100					5	"boot,any"	"jew,mag,qty=3"	r12					"useitem"		100		red-dmg	100		1	1	levelreq	100		2	2																																																																										0
red dmg glove	1			100					5	"glov,any"	"jew,mag,qty=3"	r12					"useitem"		100		red-dmg	100		1	1	levelreq	100		2	2																																																																										0
red dmg helm	1			100					5	"helm,any"	"jew,mag,qty=3"	r12					"useitem"		100		red-dmg	100		1	1	levelreq	100		2	2																																																																										0
fast hit recovery armor	1			100					5	"tors,any"	"jew,mag,qty=3"	r13					"useitem"		100		balance1	100		10	10	levelreq	100		10	10																																																																										0
fast hit recovery armor	1			100					5	"belt,any"	"jew,mag,qty=3"	r13					"useitem"		100		balance1	100		5	5	levelreq	100		10	10																																																																										0
fast hit recovery armor	1			100					5	"boot,any"	"jew,mag,qty=3"	r13					"useitem"		100		balance1	100		5	5	levelreq	100		10	10																																																																										0
fast hit recovery armor	1			100					5	"glov,any"	"jew,mag,qty=3"	r13					"useitem"		100		balance1	100		5	5	levelreq	100		10	10																																																																										0
fast hit recovery armor	1			100					5	"helm,any"	"jew,mag,qty=3"	r13					"useitem"		100		balance1	100		5	5	levelreq	100		10	10																																																																										0
reduce mag dmg armor	1			100					5	"tors,any"	"jew,mag,qty=3"	r14					"useitem"		100		regen	100		3	3	levelreq	100		5	5																																																																										0
reduce mag dmg armor	1			100					5	"belt,any"	"jew,mag,qty=3"	r14					"useitem"		100		regen	100		1	1	levelreq	100		7	7																																																																										0
reduce mag dmg armor	1			100					5	"boot,any"	"jew,mag,qty=3"	r14					"useitem"		100		regen	100		1	1	levelreq	100		7	7																																																																										0
reduce mag dmg armor	1			100					5	"glov,any"	"jew,mag,qty=3"	r14					"useitem"		100		regen	100		1	1	levelreq	100		7	7																																																																										0
reduce mag dmg armor	1			100					5	"helm,any"	"jew,mag,qty=3"	r14					"useitem"		100		regen	100		1	1	levelreq	100		7	7																																																																										0
-requirements armors	1			100					5	"armo,any"	"jew,mag,qty=3"	r15					"useitem"		100		ease	100		-3	-3	levelreq	100		1	1																																																																										0
resist all armor	1			100					5	"tors,any"	r16	r17	r18	r19			"useitem"		100		all-stats	100		5	5	levelreq	100		8	8																																																																										0
resist all belt	1			100					5	"belt,any"	r16	r17	r18	r19			"useitem"		100		all-stats	100		5	5	levelreq	100		12	12																																																																										0
resist all boot	1			100					5	"boot,any"	r16	r17	r18	r19			"useitem"		100		all-stats	100		5	5	levelreq	100		12	12																																																																										0
resist all glove	1			100					5	"glov,any"	r16	r17	r18	r19			"useitem"		100		all-stats	100		5	5	levelreq	100		12	12																																																																										0
resist all helm	1			100					5	"helm,any"	r16	r17	r18	r19			"useitem"		100		all-stats	100		5	5	levelreq	100		12	12																																																																										0
10% Extra Gold	1			100					5	"tors,any"	"jew,mag,qty=3"	r20					"useitem"		100		gold%	100		10	10	levelreq	100		4	4																																																																										0
10% Extra Gold	1			100					5	"belt,any"	"jew,mag,qty=3"	r20					"useitem"		100		gold%	100		8	8	levelreq	100		6	6																																																																										0
10% Extra Gold	1			100					5	"boot,any"	"jew,mag,qty=3"	r20					"useitem"		100		gold%	100		8	8	levelreq	100		6	6																																																																										0
10% Extra Gold	1			100					5	"glov,any"	"jew,mag,qty=3"	r20					"useitem"		100		gold%	100		8	8	levelreq	100		6	6																																																																										0
10% Extra Gold	1			100					5	"helm,any"	"jew,mag,qty=3"	r20					"useitem"		100		gold%	100		8	8	levelreq	100		6	6																																																																										0
-4% Vendor armor	1			100					5	"armo,any"	"jew,mag"	"r20,qty=3"					"useitem"		100		cheap	100		4	4	levelreq	100		16	16																																																																										0
enhanced defense Armor	1			100					5	"armo,any"	"jew,mag,qty=3"	r21					"useitem"		100		ac%	100		20	20	levelreq	100		7	7																																																																										0
+1% Added Experience	1			100					5	"armo,any"	"jew,mag,qty=3"	r22					"useitem"		100		addxp	100		1	1	levelreq	100		8	8																																																																										0
reduce magic dmg armor	1			100					5	"tors,any"	"jew,mag,qty=3"	r23					"useitem"		100		red-mag	100		2	2	levelreq	100		2	2																																																																										0
reduce magic dmg armor	1			100					5	"glov,any"	"jew,mag,qty=3"	r23					"useitem"		100		red-mag	100		1	1	levelreq	100		2	2																																																																										0
reduce magic dmg armor	1			100					5	"belt,any"	"jew,mag,qty=3"	r23					"useitem"		100		red-mag	100		1	1	levelreq	100		2	2																																																																										0
reduce magic dmg armor	1			100					5	"boot,any"	"jew,mag,qty=3"	r23					"useitem"		100		red-mag	100		1	1	levelreq	100		2	2																																																																										0
reduce magic dmg armor	1			100					5	"helm,any"	"jew,mag,qty=3"	r23					"useitem"		100		red-mag	100		1	1	levelreq	100		2	2																																																																										0
30% mf Armor	1			100					5	"tors,any"	"jew,mag,qty=3"	r24					"useitem"		100		mag%	100		30	30	levelreq	100		15	15																																																																										0
30% mf Armor	1			100					5	"belt,any"	"jew,mag,qty=3"	r24					"useitem"		100		mag%	100		15	15	levelreq	100		15	15																																																																										0
30% mf Armor	1			100					5	"boot,any"	"jew,mag,qty=3"	r24					"useitem"		100		mag%	100		15	15	levelreq	100		15	15																																																																										0
30% mf Armor	1			100					5	"glov,any"	"jew,mag,qty=3"	r24					"useitem"		100		mag%	100		15	15	levelreq	100		15	15																																																																										0
30% mf Armor	1			100					5	"helm,any"	"jew,mag,qty=3"	r24					"useitem"		100		mag%	100		15	15	levelreq	100		15	15																																																																										0
res-all-max armor	1			100					5	"armo,any"	r25	r26	r27	r28			"useitem"		100		res-all-max	100		5	5	levelreq	100		24	24																																																																										0
5% mana Armor	1			100					5	"tors,any"	"jew,mag,qty=3"	r29					"useitem"		100		mana%	100		5	5	levelreq	100		10	10																																																																										0
4% mana Armor	1			100					5	"belt,any"	"jew,mag,qty=3"	r29					"useitem"		100		mana%	100		4	4	levelreq	100		12	12																																																																										0
4% mana Armor	1			100					5	"boot,any"	"jew,mag,qty=3"	r29					"useitem"		100		mana%	100		4	4	levelreq	100		12	12																																																																										0
4% mana Armor	1			100					5	"glov,any"	"jew,mag,qty=3"	r29					"useitem"		100		mana%	100		4	4	levelreq	100		12	12																																																																										0
4% mana Armor	1			100					5	"helm,any"	"jew,mag,qty=3"	r29					"useitem"		100		mana%	100		4	4	levelreq	100		12	12																																																																										0
5% dmg reduced armor	1			100					5	"armo,any"	"jew,mag,qty=3"	r30					"useitem"		100		red-dmg%	100		5	5	levelreq	100		20	20																																																																										0
5% mana Armor	1			100					5	"tors,any"	"jew,mag,qty=3"	r31					"useitem"		100		hp%	100		5	5	levelreq	100		10	10																																																																										0
